Group: Technical Consulting ,,,Skills Model & Career Path,Skills Ranking ,Skills 360,Skills 360 User Guide,\,\
Career Path: DevOps,,,,,,Skills Insights App - Leader & Employee Guide,,,
,Grade,,Grade 4,Grade 5,Grade 6,Grade 7,Grade 8,Grade 9,Grade 11
,Learning Mindset,"Demonstrates a commitment to professional and personal development, driven by curiosity, self-motivation and a desire for growth.",1,2,3,3,3,4,5
,Display Emotional Intelligence,"Ability to recognize and understand emotions in oneself and others and use that understanding to make decisions, solve problems, and communicate with others; demonstrate empathy in interpersonal relationships.",1,2,3,3,3,4,5
,Engage in Courageous Conversations,"Communicates (writes, presents, and speaks) and listens in a transparent way, driving trust and inspiration throughout the organization.",1,2,3,3,4,4,5
,Manage Ambiguity,Encouraging others to implement better approaches to address problems and opportunities; leading the implementation and acceptance of change within the workplace.,1,2,3,3,4,4,5
,Solve Problems Creatively,Gather and analyze information and design comprehensive solutions that are flexible and adaptable to the client's needs. Includes determining relevant technical and business requirements specific to the customer.,1,2,3,3,4,4,5
Group Specific Skills,,,Group Specific Skills,,,,,,
Group-Specific Skills,Provide Domain Expertise,Ability to provide relevant knowledge and demonstrate practical application in your particular area of expertise.,1,1,2,3,4,4,
,Apply Strategic Mindset,"Creating and applying new insights based on an assessment of a customer's business, industry, and competitors to achieve success, leveraging artificial intelligence to enhance the depth and scope of this analysis and insight generation.",1,2,3,3,3,4,
,Deliver Compelling Stories,"Ability to create, share or support a compelling picture, which combines experiences, customer examples and clear outcomes that reinforce the future state which moves people toward a common outcome or goal.",1,1,2,3,3,4,
,Drive Results,Displays a strong commitment to making performance improvements and a determination to achieve positive outcomes and results.,1,2,3,3,4,4,
,Demonstrate Technical Governance,"Understands and applies practices and processes that ensure technical decisions and implementations align with the organization's business strategy, goals, regulatory requirements, and ethical considerations. ",1,1,2,3,4,4,
,Build and Deploy Technical Capabilities ,Demonstrates ability to successfully complete the end-to-end process of taking a technical concept from proof of concept/technology to design and development of a fully functional and operational solution that delivers tangible value.  ,1,2,3,3,4,4,
,Collaborate to Drive Success ,"Working cooperatively with others to help a team, work group, or customer achieve its goals. Leverages others' strengths and contributions to realize the best outcome.",1,2,3,4,4,4,
,Iterative Development ,"Drives the delivery of value-driven solutions through the application of iterative SDLC, Agile, and Salesforce Delivery Methodology principles.",1,2,3,4,4,4,
,*Agentforce,"Demonstrates ability to guide customers on AgentForce out of the box and custom features and capabilities including designing topics, instructions, guardrails and actions in order to optimize their implementations",1,2,3,3,3,3,
Path Specific Skills,,,Path Specific Skills,,,,,,
Path-Specific Skills,Technical Strategy - DevOps,"Defines the overall DevOps plan and strategy which consists of objectives, principles and tactics relating to use of deployment orchestration technologies within a particular organization.",1,2,3,4,5,5,5
,Design and Deliver Presentations,"Develop and delivery relevant and concise presentations, oral and written, for internal and external audiences.",1,2,3,4,4,4,4
,"
DevOps Assessment","Evaluates and measures an organization's maturity in adopting and implementing DevOps practices, reviews existing DevOps implementations, CI/CD pipelines, Build & Deployment orchestration, DevOps processes, and efficiency and effectiveness to achieve customer business goals. Provides recommendations on areas for improvement.",1,2,3,4,5,5,5
,Executive Presence,Ability to build credibility and can tailor communication to the role.,1,1,2,3,4,4,4
,Release Management,"Experience in the process of planning, scheduling, and testing configuration and code and deploying these to the appropriate instances.",1,2,3,4,4,4,3
,Take Accountability,"Ensuring self and others contribute to organization strategies by focusing on the most critical priorities, measuring progress, and ensuring accountability against those metrics.",1,2,3,4,4,5,3
,Security Governance - DevSecOps,"Advises customers on security governance related to the deployment pipeline including the development, institutionalization, static code analysis, assessment and improvement of risk management and security policies focused on DevOps.",1,2,2,3,4,4,
,Version Control System,Demonstrates working knowledge and experience to setup and maintain a version control repository including design branch structure.,1,2,3,4,5,5,
,Environment/Sandbox Management,"Effectively creates, maintains, and uses sandbox environments within the Salesforce platform inline with industry trends, emerging technologies, and best practices in DevOps and automation. Includes back promotions as well as rollback strategy.",1,2,3,4,4,4,
,CI/CD frameworks & tools," Demonstrates working knowledge and experience with CI/CD frameworks (pipeline design, definition, etc.), build servers, pipeline scripting languages and Salesforce specific commercial release tools.",1,2,3,4,4,5,
,Integrating Quality Engineering Framework,Demonstrates working knowledge and experience in integrating various test frameworks into the DevOps pipeline.,1,2,3,3,4,4,
,Observability - frameworks & tools,"Working experience with Observability frameworks including metrics, logs and traces identification, design, extraction and visualization
Working experience with Monitoring and Logging tools such as: Splunk, ELK, DataDog, NewRelic, etc",1,1,2,3,3,4,
,Containerization frameworks & tools,"Working experience with containerization frameworks and tools such as: kubernetes and docker",1,1,2,3,3,4,
,DevOps,"Expertise in setting up DevOps to deliver solutions using agile methods, collaboration and automation.",1,2,3,4,5,5,
